LOCATION;INDICATOR;SUBJECT;MEASURE;FREQUENCY;TIME;Value;IntRate
PRT;LTINT;TOT;PC_PA;A;1994;10,47833;10,4783%
PRT;LTINT;TOT;PC_PA;A;1995;11,46500;11,4650%
PRT;LTINT;TOT;PC_PA;A;1996;8,55917;8,5592%
PRT;LTINT;TOT;PC_PA;A;1997;6,35833;6,3583%
PRT;LTINT;TOT;PC_PA;A;1998;4,87750;4,8775%
PRT;LTINT;TOT;PC_PA;A;1999;4,77750;4,7775%
PRT;LTINT;TOT;PC_PA;A;2000;5,59500;5,5950%
PRT;LTINT;TOT;PC_PA;A;2001;5,15833;5,1583%
PRT;LTINT;TOT;PC_PA;A;2002;5,00667;5,0067%
PRT;LTINT;TOT;PC_PA;A;2003;4,18008;4,1801%
PRT;LTINT;TOT;PC_PA;A;2004;4,14392;4,1439%
PRT;LTINT;TOT;PC_PA;A;2005;3,43792;3,4379%
PRT;LTINT;TOT;PC_PA;A;2006;3,91467;3,9147%
PRT;LTINT;TOT;PC_PA;A;2007;4,42414;4,4241%
PRT;LTINT;TOT;PC_PA;A;2008;4,51986;4,5199%
PRT;LTINT;TOT;PC_PA;A;2009;4,21015;4,2101%
PRT;LTINT;TOT;PC_PA;A;2010;5,39641;5,3964%
PRT;LTINT;TOT;PC_PA;A;2011;10,23912;10,2391%
PRT;LTINT;TOT;PC_PA;A;2012;10,54652;10,5465%
PRT;LTINT;TOT;PC_PA;A;2013;6,29313;6,2931%
PRT;LTINT;TOT;PC_PA;A;2014;3,75395;3,7540%
PRT;LTINT;TOT;PC_PA;A;2015;2,42333;2,4233%
PRT;LTINT;TOT;PC_PA;A;2016;3,17167;3,1717%
PRT;LTINT;TOT;PC_PA;A;2017;3,05250;3,0525%
PRT;LTINT;TOT;PC_PA;A;2018;1,83917;1,8392%
PRT;LTINT;TOT;PC_PA;A;2019;0,75750;0,7575%
ITA;LTINT;TOT;PC_PA;A;1992;13,26575;13,2658%
ITA;LTINT;TOT;PC_PA;A;1993;11,18692;11,1869%
ITA;LTINT;TOT;PC_PA;A;1994;10,51883;10,5188%
ITA;LTINT;TOT;PC_PA;A;1995;12,20583;12,2058%
ITA;LTINT;TOT;PC_PA;A;1996;9,40067;9,4007%
ITA;LTINT;TOT;PC_PA;A;1997;6,86025;6,8603%
ITA;LTINT;TOT;PC_PA;A;1998;4,88250;4,8825%
ITA;LTINT;TOT;PC_PA;A;1999;4,72750;4,7275%
ITA;LTINT;TOT;PC_PA;A;2000;5,57608;5,5761%
ITA;LTINT;TOT;PC_PA;A;2001;5,18708;5,1871%
ITA;LTINT;TOT;PC_PA;A;2002;5,03417;5,0342%
