LOCATION;INDICATOR;SUBJECT;MEASURE;FREQUENCY;TIME;Value;;;Tax Wedge
AUS;TAXWEDGE;TOT;PC_LC;A;2000;31.011.854;31011854;31011854;31,01185%
AUS;TAXWEDGE;TOT;PC_LC;A;2001;27.630.069;27630069;27630069;27,63007%
AUS;TAXWEDGE;TOT;PC_LC;A;2002;27.973.221;27973221;27973221;27,97322%
AUS;TAXWEDGE;TOT;PC_LC;A;2003;28.246.566;28246566;28246566;28,24657%
AUS;TAXWEDGE;TOT;PC_LC;A;2004;28.192.745;28192745;28192745;28,19275%
AUS;TAXWEDGE;TOT;PC_LC;A;2005;2.850.802;28508020;28508020;28,50802%
AUS;TAXWEDGE;TOT;PC_LC;A;2006;28.281.561;28281561;28281561;28,28156%
AUS;TAXWEDGE;TOT;PC_LC;A;2007;27.697.401;27697401;27697401;27,69740%
AUS;TAXWEDGE;TOT;PC_LC;A;2008;26.931.992;26931992;26931992;26,93199%
AUS;TAXWEDGE;TOT;PC_LC;A;2009;26.748.796;26748796;26748796;26,74880%
AUS;TAXWEDGE;TOT;PC_LC;A;2010;26.829.039;26829039;26829039;26,82904%
AUS;TAXWEDGE;TOT;PC_LC;A;2011;26.650.257;26650257;26650257;26,65026%
AUS;TAXWEDGE;TOT;PC_LC;A;2012;27.273.247;27273247;27273247;27,27325%
AUS;TAXWEDGE;TOT;PC_LC;A;2013;27.415.207;27415207;27415207;27,41521%
AUS;TAXWEDGE;TOT;PC_LC;A;2014;27.662.194;27662194;27662194;27,66219%
AUS;TAXWEDGE;TOT;PC_LC;A;2015;28.344.366;28344366;28344366;28,34437%
AUS;TAXWEDGE;TOT;PC_LC;A;2016;28.570.916;28570916;28570916;28,57092%
AUS;TAXWEDGE;TOT;PC_LC;A;2017;28.616.701;28616701;28616701;28,61670%
AUS;TAXWEDGE;TOT;PC_LC;A;2018;28.889.201;28889201;28889201;28,88920%
AUS;TAXWEDGE;TOT;PC_LC;A;2019;27.938.607;27938607;27938607;27,93861%
AUS;TAXWEDGE;TOT;PC_LC;A;2020;28.354.825;28354825;28354825;28,35483%
AUT;TAXWEDGE;TOT;PC_LC;A;2000;47.312.048;47312048;47312048;47,31205%
AUT;TAXWEDGE;TOT;PC_LC;A;2001;46.910.884;46910884;46910884;46,91088%
AUT;TAXWEDGE;TOT;PC_LC;A;2002;47.073.607;47073607;47073607;47,07361%
AUT;TAXWEDGE;TOT;PC_LC;A;2003;47.377.708;47377708;47377708;47,37771%
AUT;TAXWEDGE;TOT;PC_LC;A;2004;48.266.145;48266145;48266145;48,26615%
AUT;TAXWEDGE;TOT;PC_LC;A;2005;4.814.329;48143290;48143290;48,14329%
AUT;TAXWEDGE;TOT;PC_LC;A;2006;48.453.854;48453854;48453854;48,45385%
AUT;TAXWEDGE;TOT;PC_LC;A;2007;48.760.437;48760437;48760437;48,76044%
AUT;TAXWEDGE;TOT;PC_LC;A;2008;49.033.048;49033048;49033048;49,03305%
AUT;TAXWEDGE;TOT;PC_LC;A;2009;47.948.742;47948742;47948742;47,94874%
AUT;TAXWEDGE;TOT;PC_LC;A;2010;48.168.771;48168771;48168771;48,16877%
AUT;TAXWEDGE;TOT;PC_LC;A;2011;48.539.773;48539773;48539773;48,53977%
AUT;TAXWEDGE;TOT;PC_LC;A;2012;48.839.612;48839612;48839612;48,83961%
AUT;TAXWEDGE;TOT;PC_LC;A;2013;49.183.759;49183759;49183759;49,18376%
AUT;TAXWEDGE;TOT;PC_LC;A;2014;49.415.725;49415725;49415725;49,41573%
AUT;TAXWEDGE;TOT;PC_LC;A;2015;49.616.021;49616021;49616021;49,61602%
AUT;TAXWEDGE;TOT;PC_LC;A;2016;47.331.796;47331796;47331796;47,33180%
AUT;TAXWEDGE;TOT;PC_LC;A;2017;47.420.241;47420241;47420241;47,42024%
AUT;TAXWEDGE;TOT;PC_LC;A;2018;47.618.571;47618571;47618571;47,61857%
AUT;TAXWEDGE;TOT;PC_LC;A;2019;47.904.752;47904752;47904752;47,90475%
